-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  53.885   Longitude 1.791 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M
2021,1,1,0,4.96,330.24
2021,1,1,1,5.04,333.28
2021,1,1,2,5.18,334.25
2021,1,1,3,5.47,332.89
2021,1,1,4,5.77,331.07
2021,1,1,5,6.11,329.17
2021,1,1,6,6.38,329.7
2021,1,1,7,6.63,332.32
2021,1,1,8,7.02,336.58
2021,1,1,9,7.36,342.07
2021,1,1,10,7.55,347.09
2021,1,1,11,7.78,349.82
2021,1,1,12,8.23,352.48
2021,1,1,13,8.7,355.06
2021,1,1,14,9.15,357.8
2021,1,1,15,9.39,358.9
2021,1,1,16,9.55,357.8
2021,1,1,17,9.71,356.45
2021,1,1,18,9.7,354.83
2021,1,1,19,9.46,353.22
2021,1,1,20,8.95,351.06
2021,1,1,21,8.44,348.95
2021,1,1,22,8.06,347.28
2021,1,1,23,7.85,345.54
2021,1,2,0,7.67,343.32
2021,1,2,1,7.48,340.73
2021,1,2,2,7.32,337.6
2021,1,2,3,7.31,334.28
2021,1,2,4,7.39,332.35
2021,1,2,5,7.25,332.41
2021,1,2,6,6.82,333.55
2021,1,2,7,6.13,334.81
2021,1,2,8,5.38,335.74
2021,1,2,9,4.82,337.89
2021,1,2,10,4.35,342.02
2021,1,2,11,4.11,347.49
2021,1,2,12,4.07,355.04
2021,1,2,13,4.12,5.44
2021,1,2,14,4.25,13.5
2021,1,2,15,4.4,18.95
2021,1,2,16,4.71,22.95
2021,1,2,17,5.12,27.82
2021,1,2,18,5.42,34.67
2021,1,2,19,5.59,42.39
2021,1,2,20,5.7,49.67
2021,1,2,21,5.76,53.66
2021,1,2,22,5.87,54.75
2021,1,2,23,6.11,53.99
2021,1,3,0,6.49,52.58
2021,1,3,1,6.88,52.19
2021,1,3,2,7.13,53.7
2021,1,3,3,7.33,56.34
2021,1,3,4,7.79,59.71
2021,1,3,5,8.38,63.53
2021,1,3,6,9.05,66.38
2021,1,3,7,9.85,66.49
2021,1,3,8,10.54,63.8
2021,1,3,9,11.03,61.58
2021,1,3,10,11.26,62.79
2021,1,3,11,11.35,67.25
2021,1,3,12,11.36,72.3
2021,1,3,13,11.23,75.21
2021,1,3,14,11.28,73.87
2021,1,3,15,11.51,70.32
2021,1,3,16,11.76,66.59
2021,1,3,17,11.9,64.48
2021,1,3,18,11.96,64.37
2021,1,3,19,11.97,64.97
2021,1,3,20,11.88,64.87
2021,1,3,21,11.65,64.41
2021,1,3,22,11.46,63.84
2021,1,3,23,11.5,63.54
2021,1,4,0,11.88,63.69
2021,1,4,1,12.6,63.67
2021,1,4,2,13.42,63.58
2021,1,4,3,13.91,62.9
2021,1,4,4,14.16,61.85
2021,1,4,5,14.38,61.19
2021,1,4,6,14.66,60.72
2021,1,4,7,14.83,60.18
2021,1,4,8,14.81,59.51
2021,1,4,9,14.49,59.16
2021,1,4,10,13.99,58.78
2021,1,4,11,13.44,57.8
2021,1,4,12,13.05,56.33
2021,1,4,13,12.81,54.88
2021,1,4,14,12.67,53.96
2021,1,4,15,12.63,53.02
2021,1,4,16,12.7,52.17
2021,1,4,17,12.82,51.8
2021,1,4,18,12.92,51.8
2021,1,4,19,12.93,52.17
2021,1,4,20,12.79,52.65
2021,1,4,21,12.5,52.85
2021,1,4,22,12.2,52.78
2021,1,4,23,11.91,52.36
2021,1,5,0,11.77,52.01
2021,1,5,1,11.73,52.31
2021,1,5,2,11.7,53.09
2021,1,5,3,11.62,53.62
2021,1,5,4,11.52,53.22
2021,1,5,5,11.52,52.0
2021,1,5,6,11.54,50.91
2021,1,5,7,11.54,50.24
2021,1,5,8,11.54,50.41
2021,1,5,9,11.53,51.13
2021,1,5,10,11.53,51.63
2021,1,5,11,11.48,51.16
2021,1,5,12,11.53,50.44
2021,1,5,13,11.6,49.62
2021,1,5,14,11.68,48.93
2021,1,5,15,11.77,48.66
2021,1,5,16,11.71,49.17
2021,1,5,17,11.55,50.11
2021,1,5,18,11.31,51.36
2021,1,5,19,11.0,52.45
2021,1,5,20,10.67,53.27
2021,1,5,21,10.32,53.75
2021,1,5,22,10.06,53.98
2021,1,5,23,9.95,54.65
2021,1,6,0,9.9,55.32
2021,1,6,1,9.81,55.25
2021,1,6,2,9.66,54.28
2021,1,6,3,9.52,52.8
2021,1,6,4,9.38,51.12
2021,1,6,5,9.22,48.95
2021,1,6,6,9.06,46.4
2021,1,6,7,8.92,44.4
2021,1,6,8,8.75,42.72
2021,1,6,9,8.5,39.85
2021,1,6,10,8.25,35.09
2021,1,6,11,8.14,28.88
2021,1,6,12,8.29,22.33
2021,1,6,13,8.69,17.75
2021,1,6,14,9.06,16.06
2021,1,6,15,9.26,16.51
2021,1,6,16,9.19,18.17
2021,1,6,17,8.96,19.45
2021,1,6,18,8.68,19.61
2021,1,6,19,8.38,18.76
2021,1,6,20,8.15,17.22
2021,1,6,21,7.9,15.37
2021,1,6,22,7.62,12.97
2021,1,6,23,7.36,10.08
2021,1,7,0,7.14,6.78
2021,1,7,1,7.01,3.51
2021,1,7,2,6.9,0.71
2021,1,7,3,6.82,358.03
2021,1,7,4,6.8,355.78
2021,1,7,5,6.73,354.07
2021,1,7,6,6.6,352.52
2021,1,7,7,6.53,350.14
2021,1,7,8,6.48,346.83
2021,1,7,9,6.48,342.46
2021,1,7,10,6.49,338.81
2021,1,7,11,6.5,335.96
2021,1,7,12,6.46,334.05
2021,1,7,13,6.37,332.62
2021,1,7,14,6.12,331.57
2021,1,7,15,5.8,331.09
2021,1,7,16,5.51,329.94
2021,1,7,17,5.28,327.32
2021,1,7,18,5.18,325.02
2021,1,7,19,5.03,323.59
2021,1,7,20,4.78,323.64
2021,1,7,21,4.39,325.89
2021,1,7,22,3.9,328.76
2021,1,7,23,3.42,332.85
2021,1,8,0,3.01,338.03
2021,1,8,1,2.69,343.62
2021,1,8,2,2.51,351.42
2021,1,8,3,2.57,1.22
2021,1,8,4,2.78,11.66
2021,1,8,5,3.11,20.89
2021,1,8,6,3.55,28.09
2021,1,8,7,4.06,32.89
2021,1,8,8,4.54,35.82
2021,1,8,9,4.8,36.33
2021,1,8,10,4.99,34.86
2021,1,8,11,5.19,32.47
2021,1,8,12,5.45,29.72
2021,1,8,13,5.69,27.13
2021,1,8,14,5.84,25.85
2021,1,8,15,5.98,23.95
2021,1,8,16,6.06,21.01
2021,1,8,17,6.01,17.63
2021,1,8,18,5.8,13.16
2021,1,8,19,5.46,7.4
2021,1,8,20,5.13,0.96
2021,1,8,21,4.88,353.39
2021,1,8,22,4.73,343.6
2021,1,8,23,4.72,331.31
2021,1,9,0,4.91,317.97
2021,1,9,1,5.44,307.12
2021,1,9,2,6.28,302.41
2021,1,9,3,7.11,303.48
2021,1,9,4,7.55,307.6
